id,word_en,word_ml,count
226,ynmny,मॅडम,56619
227,nnag,आली,56517
228,rnfcnl,पाठव,56269
229,yni,माझं,56230
230,csq,होय,56049
231,duau,केले,55904
232,hjyout,नंबर,55878
233,hnncg,नाही,55840
234,nycg,आम्ही,55534
235,ftnz,त्रास,55442
236,knjmu,जाऊदे,55369
237,nag,आली,54722
238,quj,येऊ,54675
239,sbbgpu,ऑफिस,54665
240,dnzcg,कशी,54572
241,zctg,श्री,54109
242,vuan,गेला,53755
243,ovc,बघ,53281
244,yg,मि,53275
245,oq,बाय,53221
246,cshnt,होणार,52940
247,fulcn,तेव्हा,52488
248,zu,से,52285
249,hnddg,नक्की,51731
250,dnz,कस,51294
251,pcnaua,चालेल,51246
252,rtsoauy,प्रॉब्लेम,50958
253,dshnan,कोणाला,50515
254,rjth,पूर्ण,50050
255,z,स,49793
256,fqnhn,त्यांना,49733
257,msh,दोन,49604
258,hcg,नहीं,49120
259,dnyg,कमी,48863
260,q,य,48607
261,fji,तुझं,47764
262,s,ओ,47669
263,vnmg,गाडी,47448
264,ogtfcmnq,बर्थडे,47409
265,znhvj,सांगू,47138
266,dnzcnan,कशाला,47080
267,nzfs,असतो,46887
268,yntnfcg,मराठी,46723
269,qufu,येते,46551
270,ocg,भी,46522
271,yjau,मुळे,46481
272,osafs,बोलतो,46472
273,rnfga,पाटील,46245
274,bsh,फोन,46228
275,cnrrq,हैप्पी,46150
276,fjan,तूला,46065
277,ynhjh,म्हणून,46052
278,mc,धन्यवाद,45630
279,ynkcqn,माझ्या,45347
280,nraqn,आपल्या,45330
281,qnt,यार,45216
282,quga,येईल,44875
283,zsmjh,सोडून,44850
284,djfc,कुठं,44786
285,yniu,माझे,44758
286,zjffg,सुट्टी,44405
287,anvua,लागेल,44212
288,muhnt,देणार,43989
289,djfu,कुठे,43953
290,dnnq,काय,43696
291,anvupc,लगेच,43686
292,fjpc,तूच,43581
293,au,ले,43580
294,dnakg,काळजी,43408
295,lnkfn,वाजता,43248
296,hndn,नका,43203
297,dmcg,कधी,43164
298,mgan,दिला,43113
299,anvh,लग्न,42924
300,onz,बस,42810
301,g,इ,42807
302,vuau,गेले,42760
303,fjypcn,तुमचा,42705
304,tny,राम,42663
305,dtf,करत,42560
306,muf,देत,42356
307,vnhrnfg,गणपती,42294
308,nzn,असा,42275
309,cngh,हैं,42229
310,ynkcn,माझा,42119
311,zjhmnt,सुंदर,41653
312,osaf,बोलत,41637
313,ocntg,भारी,41596
314,nnraqn,आपल्या,41257
315,osahnt,बोलणार,41136
316,nnau,आले,40988
317,asd,लोक,40980
318,lnm,वाढदिवसाच्या,40802
319,yjyong,मुंबई,40611
320,rgaaj,पिल्लू,40519
321,rnhg,पाणी,40361
322,rntqnhf,पर्यंत,39997
323,osanqpc,बोलायचं,39837
324,nnycg,आम्ही,39685
325,nas,आलो,39582
326,dnzu,कसे,39548
327,rnjz,पाऊस,39317
328,mqn,द्या,39234
329,ds,को,39166
330,dz,कस,39120
331,pccnh,छान,39045
332,znhvgfa,सांगितलं,38873
333,lgmus,विडिओ,38818
334,nau,आले,38764
335,anq,लय,38544
336,ymcu,मध्ये,38445
337,fnz,तस,38419
338,fjkcn,तुझा,38218
339,mufs,देतो,37999
340,tsk,रोज,37786
341,fcsmn,थोडा,37490
342,ygft,मित्र,37153
343,vcqn,घ्या,37095
344,npccn,अच्छा,37057
345,cqn,ह्या,37012
346,osas,बोलो,36655
347,fqnpcn,त्याचा,36371
348,ks,जो,36313
349,rszf,पोस्ट,36313
350,fn,ता,36299
351,ynyn,मामा,36194
352,dntf,करत,35872
353,fjiu,तुझे,35811
354,hnlgh,नवीन,35783
355,yng,मै,35741
356,nzpc,असच,35308
357,kso,जॉब,35164
358,dntfsq,करतोय,35160
359,cnq,हाय,35039
360,knlna,जवळ,35014
361,muj,देऊ,35011
362,bdf,फक्त,34985
363,znhvfs,सांगतो,34914
364,fcul,ठेव,34900
365,vuas,गेलो,34861
366,knjh,जाऊन,34514
367,hncgf,नाहीत,34445
368,lgpcnta,विचारलं,34350
369,hg,नि,34268
370,fcnyo,थांब,34184
371,dtfs,करतो,34147
372,zndna,सकाळ,34133
373,fjyg,तुमी,34101
374,dntnqan,करायला,33960
375,rcshu,फोन,33858
376,fgfcu,तिथे,33811
377,nnas,आलो,33600
378,lgzcnq,विषय,33380
379,onqds,बायको,33355
380,fjkcqn,तुझ्या,33271
381,cj,हू,33221
382,ynh,मन,32974
383,knf,जात,32827
384,osafu,बोलते,32760
385,zjtj,सुरु,32616
386,fjypcg,तुमची,31960
387,vctg,घरी,31951
388,hgf,नीट,31949
389,dntfuz,करतेस,31823
390,aslu,लव्ह,31775
391,dnmcgpc,कधीच,31683
392,dcsf,खोटं,31658
393,udmn,एकदा,31515
394,nzcg,अशी,31347
395,ychku,म्हणजे,31328
396,rjmcu,पुढे,31233
397,fqnf,त्यात,31117
398,znt,सर,31064
399,fuhzgsh,टेन्शन,30809
400,rntfq,पार्टी,30807
401,zcg,शी,30788
402,dtjh,करून,30786
403,ong,बाई,30717
404,dntfn,करता,30705
405,zuhm,सेंड,30539
406,hdn,नका,30481
407,psaauvu,कॉलेज,30440
408,knfs,जातो,30384
409,hs,नो,30377
410,hng,नाही,30246
411,zjocupcn,शुभेच्छा,30216
412,ynkcg,माझी,30087
413,onan,बाळा,30045
414,ncnf,आहात,29880
415,nnrh,आपण,29842
416,rncgau,पहिले,29781
417,lnf,वाट,29647
418,israg,झोपली,29645
419,dcntnpc,खरंच,29612
420,dcnag,खाली,29534
421,knqpc,जायचं,29309
422,dnmjh,कडून,29078
423,yzf,मस्त,29053
424,dntnqpc,करायचं,29047
425,zfnfjz,स्टेटस,29009
426,fjkn,तुजा,28949
427,mjrntg,दुपारी,28893
428,shagh,ऑनलाईन,28857
429,nzfnf,असतात,28822
430,hncgz,नाहीस,28677
431,nhg,आणी,28587
432,turaq,रिप्लाय,28537
433,nnr,आप,28435
434,zcndnf,शकत,28401
435,dcg,काही,28228
436,nmcg,आधी,28146
437,fgdmu,तिकडे,27970
438,knt,जर,27821
439,fqnyjau,त्यामुळे,27801
440,cyy,हम्म,27655
441,yjavg,मुलगी,27352
442,znykjh,समजून,27322
443,dtn,करा,27246
444,njt,और,27222
445,dnny,काम,27181
446,d,क,27170
447,yuzuk,मेसेज,27109
448,ncs,अहो,27021
449,fgpcn,तिचा,26987
450,hg,नी,26975
451,nncnf,आहात,26606
452,ysonga,मोबाईल,26513
453,yn,मा,26459
454,hnzua,नसेल,26425
455,dndn,काका,26378
456,vnlg,गावी,26364
457,pcnhvan,चांगला,26356
458,dmu,कडे,26329
459,onmmna,बद्दल,26324
460,pcncn,चहा,26309
461,dshfn,कोणता,26296
462,ln,वा,26026
463,vntnk,गरज,26003
464,zntdc,सारखं,25799
465,ocuf,भेट,25702
466,zcnhf,शांत,25594
467,onrrn,बाप्पा,25540
468,j,यू,25529
469,nnkjh,आजून,25421
470,djr,खुप,25367
471,nnmcg,आधी,25210
472,fjkqn,तुज्या,25119
473,znv,साग,25106
474,ag,ली,25080
475,nzf,असत,25052
476,tncj,राहू,24925
477,hncgfnt,नाहीतर,24855
478,osajh,बोलून,24722
479,vnhuzc,गणेश,24717
480,lntjh,वरून,24692
481,kcnau,झाले,24662
482,bsfs,फोटो,24659
483,vcuj,घेऊ,24655
484,isrn,झोपा,24638
485,zxnyg,स्वामी,24619
486,ynhnf,मनात,24616
487,cupc,हेच,24555
488,lnfa,वाटलं,24448
489,dnth,कारण,24443
490,mgau,दिले,24378
491,kcnag,झाली,24368
492,qnnt,यार,24362
493,ou,बे,24357
494,nzfga,असतील,24351
495,fz,तस,24333
496,lngf,वाईट,24161
497,nznpc,असच,24149
498,dtfu,करते,24132
499,rjhu,पुणे,24128
500,lgfcfcna,विठ्ठल,24101
501,tncn,राहा,23963
502,vtjr,ग्रुप,23909
503,kng,जय,23885
504,mga,दिल,23877
505,otsot,बरोबर,23867
506,rjhcn,पुन्हा,23710
507,ynhku,म्हणजे,23705
508,onvcj,बघू,23693
509,osag,बोली,23686
510,yghgf,मिनिट,23657
511,djpc,कुछ,23625
512,rudzcn,पेक्षा,23616
513,fgpcqn,तिच्या,23563
514,nrh,आपण,23550
515,fcsm,थोडं,23503
516,nypcqn,आमच्या,23502
517,osafsq,बोलतोय,23297
518,lgzcxnz,विश्वास,23292
519,cnf,हात,23263
520,shaghu,ऑनलाईन,23150
521,kgl,जीव,23077
522,dnmg,कधी,23048
523,fnd,टाक,23037
524,ygftn,मित्रा,22999
525,rnvna,पागल,22997
526,dshfqn,कोणत्या,22925
527,qnhn,यांना,22876
528,znhmcqndnag,संध्याकाळी,22858
529,dthnt,करणार,22799
530,ynkn,मजा,22798
531,znyst,समोर,22769
532,kcsr,झोप,22743
533,mgznf,दिसत,22726
534,fqnpcqn,त्याच्या,22665
535,ynvu,मागे,22617
536,vcnt,घर,22551
537,fqnhg,त्यांनी,22549
538,msd,डोकं,22520
539,xnt,वर,22508
540,mgag,दिली,22506
541,udn,एका,22440
542,vcuf,घेत,22410
543,anvag,लागली,22376
544,n,अ,22352
545,hncgqu,नाहीये,22264
546,huf,नेट,22194
547,kulagz,जेवलीस,22174
548,luan,वेळा,22170
549,fjypcu,तुमचे,22145
550,c,हा,22145
551,anvnf,लागत,22057
552,zcgltnq,शिवराय,22052
553,zjmcn,सुद्धा,22046
554,zjrtnocnf,सुप्रभात,21988
555,ygpc,मीच,21943
556,zt,सर,21915
557,andc,लाख,21881
558,ygzz,मिस,21868
559,osanas,बोललो,21809
560,fnqnt,तयार,21771
561,jffnt,उत्तर,21769
562,ynhjz,माणूस,21730
563,ysfcn,मोठा,21673
564,gfcu,इथे,21615
565,oz,बस,21516
566,qujh,येऊन,21479
567,muauf,डिलिट,21432
568,ocufj,भेटू,21363
569,fjypc,तुमचं,21220
570,dgln,किंवा,21206
571,dnynf,कामात,21181
572,onf,बात,21114
573,nnhg,आणी,21063
574,panzz,क्लास,21023
575,lnfnfu,वाटते,20968
576,hndsz,नकोस,20957
577,c,ह,20890
578,aldt,लवकर,20817
579,yncntnzcftn,महाराष्ट्र,20793
580,nnfnpc,आताच,20675
581,kulnqan,जेवायला,20620
582,fjkcg,तुझी,20594
583,dcjzc,खुश,20590
584,fqnhpcqn,त्यांच्या,20542
585,qufsq,येतोय,20448
586,cuaas,हॅलो,20402
587,vsm,गोड,20389
588,vcufan,घेतला,20344
589,xnfnf,वाटत,20320
590,osanqan,बोलायला,20313
591,yjavn,मुलगा,20282
592,knvn,जागा,20248
593,kcnan,झाला,20153
594,hnn,ना,20150
595,oaspd,ब्लॉक,20049
596,knfu,जाते,19970
597,nh,अन,19929
598,osaas,बोललो,19924
599,fqnpcg,त्याची,19914
600,ynkqn,माज्या,19878
601,znmcqn,सध्या,19864
602,csfgz,होतीस,19862
603,tssy,रूम,19786
604,dshnpcn,कोणाचा,19784
605,hnyont,नंबर,19782
606,dnn,का,19698
607,nnypcqn,आमच्या,19661
608,tncga,राहील,19632
609,csj,होऊ,19628
610,csdn,होका,19612
611,ancnh,लहान,19580
612,onq,बाय,19453
613,anvfu,लागते,19420
614,vcntnf,घरात,19415
615,ynkg,माजी,19358
616,nycnan,आम्हाला,19345
617,xcnfz,व्हाट्स,19284
618,nkjh,अजुन,19262
619,kulag,जेवली,19253
620,ang,लई,19172
621,btuu,फ्री,19094
622,hnhft,नंतर,19082
623,nn,आ,19055
624,nzn,असं,18804
625,ygaua,मिळेल,18785
626,yutu,मेरे,18770
627,fghu,तिने,18738
628,zsof,सोबत,18723
629,rnrrn,पप्पा,18638
630,nntu,आरे,18600
631,hddg,नक्की,18587
632,ynmcqu,मध्ये,18514
633,mcn,धन्यवाद,18450
634,jvnpc,उगाच,18443
635,zxnfn,स्वतः,18412
636,kqn,ज्या,18351
637,nfnpc,आताच,18331
638,dctpc,खरच,18296
639,pca,चल,18284
640,rh,पन,18245
641,osafn,बोलता,18196
642,znhvgfau,सांगितले,18186
643,dntua,करेल,18168
644,zcglnq,शिवाय,18157
645,ysoga,मोबाईल,18122
646,fcsmg,थोडी,18068
647,andzcnf,लक्षात,18066
648,rtf,परत,17940
649,zshj,सोनू,17939
650,dnana,कळलं,17932
651,fjkg,तुजी,17847
652,hnzfn,नास्ता,17819
653,fcn,था,17792
654,znfc,साथ,17776
655,onoj,बाबू,17699
656,mjztn,दुसरा,17689
657,znva,सगळं,17677
658,knga,जाईल,17633
659,znpcgh,सचिन,17603
660,yntnfcn,मराठा,17542
661,nmm,ऍड,17538
662,lnmc,वाढदिवसाच्या,17526
663,rsagpu,पोलीस,17350
664,pcjd,चूक,17341
665,zctuu,श्री,17335
666,ynf,मत,17325
667,djhnan,कुणाला,17247
668,kulh,जेवण,17228
669,dnanf,कळत,17179
670,rncgan,पहिला,17160
671,dnmnd,कडक,17072
672,mjztqn,दुसऱ्या,17068
673,kt,जर,17025
674,ynhv,मंग,16931
675,nd,एक,16882
676,dct,खरं,16869
677,ocgy,भीम,16859
678,udmny,एकदम,16798
679,rnzz,पास,16755
680,d,की,16729
681,lncghg,वाहिनी,16725
682,pcnan,चला,16668
683,ynmcjh,मधून,16638
684,cszrgfna,हॉस्पिटल,16636
685,ystqn,मोरया,16584
686,ojz,बस,16549
687,nocqnz,अभ्यास,16533
688,dntfnf,करतात,16529
689,yjag,मुली,16509
690,bnt,फार,16497
691,tn,रा,16488
692,fuln,तेव्हा,16405
693,ynhnrnzjh,मनापासून,16395
694,dshfg,कोणती,16394
695,vnr,गप,16375
696,fnzupc,तसेच,16315
697,onzasq,बसलोय,16282
698,onvcn,बघा,16273
699,qufnf,येतात,16138
700,mntj,दारू,16136
701,tncja,राहुल,16134
702,ysfcg,मोठी,16115
703,dgzz,किस,16109
704,zcufc,शेठ,16100
705,fqan,त्याला,16086
706,sy,ओम,16081
707,hnyzdnt,नमस्कार,16052
708,hntnk,नाराज,16035
709,rnfcln,पाठवा,16035
710,fqnhu,त्याने,16017
711,tnhg,राणी,15984
712,zntlnhn,सर्वाना,15976
713,osaag,बोलली,15970
714,ocnkg,भाजी,15926
715,lnfna,वाटल,15904
716,nntny,आराम,15850
717,vcuhnt,घेणार,15779
718,dncgfntg,काहीतरी,15773
719,hnfnt,नंतर,15741
720,btguhmz,फ्रेंड्स,15719
721,zcndfs,शकतो,15714
722,lntzc,वर्ष,15712
723,ona,बाळ,15683
724,r,प,15679
725,munt,डिअर,15669
726,dzn,कसा,15665
727,pcnhvag,चांगली,15658
728,nnrau,आपले,15657
729,ina,झाला,15622
730,mul,देव,15551
731,rnq,पाय,15536
732,oncgh,बहीण,15499
733,lnffu,वाटते,15465
734,yuu,मी,15450
735,nzs,असो,15418
736,asdnhn,लोकांना,15417
737,qnpcn,याचा,15377
738,ygftn,मित्र,15366
739,dnmcjh,काढून,15343
740,ynmcu,मधे,15327
741,tns,राव,15311
742,nran,आपला,15286
743,znyka,समजलं,15273
744,qufcu,येथे,15245
745,dnhfnan,कंटाळा,15197
746,dcn,खा,15177
747,dncgcg,काहीही,15130
748,hncu,नाही,15112
749,ynkn,माजा,15104
750,pcud,चेक,15071
751,fjynan,तुमाला,15070
752,mgxnz,दिवस,15046
753,gh,इन,15024
754,tncn,रहा,14975
755,tnkn,राजा,14951
756,osanag,बोलली,14935
757,vszcfg,गोष्टी,14916
758,vjm,गुड,14915
759,hnvnt,नगर,14819
760,xn,वा,14814
761,nzupc,असेच,14804
762,yutn,मेरा,14787
763,hglnhf,निवांत,14743
764,fqnpc,त्याच,14726
765,agqu,लिये,14720
766,jzcgt,उशीर,14715
767,pcjdjh,चुकून,14696
768,ktn,जरा,14667
769,mufu,देते,14655
770,vcufag,घेतली,14651
771,ntfc,अर्थ,14647
772,nrau,आपले,14634
773,ulmc,एवढं,14621
774,u,ए,14620
775,nnrag,आपली,14588
776,nzjh,असून,14586
777,rtnzch,प्रश्न,14586
778,mgh,दिन,14570
779,zue,सेक्स,14564
780,ynkc,माझं,14544
781,ocjd,भूक,14538
782,nzhnt,असणार,14525
783,dsfcu,कोठे,14511
784,dulcn,केव्हा,14497
785,dcntno,खराब,14481
786,pcna,चाल,14468
787,nzfn,असता,14446
788,ocgfg,भीती,14392
789,nysa,अमोल,14390
790,dnynan,कामाला,14368
791,mjfq,ड्युटी,14354
792,qnan,याला,14328
793,ocufnqan,भेटायला,14308
794,mspfst,डॉक्टर,14307
795,nnran,आपला,14290
796,lnff,वाटतं,14279
797,zng,साई,14271
798,hucyg,नेहमी,14260
799,oqu,बाय,14248
800,ynchjh,म्हणून,14243
801,mgmg,दीदी,14219
802,anvan,लागला,14183
803,vcufs,घेतो,14183
804,knnh,जान,14182
805,onmna,बदल,14178
806,rntf,परत,14110
807,tnl,राव,14069
808,mqn,दया,14059
809,msvcu,दोघे,13971
810,ocnt,भर,13949
811,ocnhmnh,भांडण,13948
812,andzc,लक्ष,13946
813,mjt,दूर,13942
814,anyo,लांब,13927
815,osau,बोलें,13919
816,tjrnqu,रुपये,13874
817,anvf,लागत,13852
818,duanz,केलास,13843
819,m,ड,13829
820,onrtu,बापरे,13816
821,ontg,बरी,13810
822,mglzcg,दिवशी,13777
823,rncjh,पाहून,13764
824,nfclnh,आठवण,13752
825,hdsz,नकोस,13727
826,znvna,सगळं,13710
827,csfua,हॉटेल,13695
828,mg,दि,13692
829,isran,झोपला,13686
830,isrfs,झोपतो,13680
831,osafuz,बोलतेस,13639
832,vjtj,गुरु,13632
833,yutg,मेरी,13621
834,muln,देवा,13600
835,j,उ,13587
836,knyn,जमा,13562
837,hnqu,नये,13541
838,zcnan,शाळा,13525
839,dntfnq,करताय,13519
840,ann,ला,13498
841,onkjan,बाजूला,13489
842,lghnhfg,विनंती,13481
843,nncsf,आहोत,13470
844,ynmnf,मदत,13465
845,zntdcn,सारखा,13446
846,djhg,कुणी,13446
847,vnrr,गप्प,13444
848,kulcn,जेव्हा,13423
849,vnl,गाव,13398
850,yncntnk,महाराज,13392
851,xua,वेळ,13325
852,bgt,फिर,13312
853,zcnauf,शाळेत,13308
854,zntdnt,सरकार,13285
855,rgaj,पिलू,13285
856,kq,जय,13253
857,dsg,कोई,13240
858,fnz,तास,13220
859,hngf,नाईट,13217
860,znvnau,सगळे,13190
861,mujh,देऊन,13190
862,hq,नय,13187
863,znhvnf,सांगत,13182
864,ysmg,मोदी,13129
865,ynkkn,मज्जा,13121
866,nypcu,आमचे,13094
867,fnoouf,तब्बेत,13087
868,ynkuf,मजेत,13058
869,dzcg,कशी,13042
870,nraqnan,आपल्याला,13015
871,on,बा,13008
872,rgp,पीक,13003
873,naqnlnt,आल्यावर,12997
874,ng,आई,12976
875,nlmnf,आवडत,12966
876,fnzu,तसें,12927
877,yjyyq,मम्मी,12913
878,bgtnqan,फिरायला,12907
879,gpcn,इच्छा,12904
880,mndcnl,दाखव,12893
881,nvsmnt,अगोदर,12892
882,hft,नंतर,12886
883,tj,रु,12864
884,auf,लेट,12810
885,avh,लग्न,12795
886,ynb,माफ,12788
887,ru,पे,12780
888,nrag,आपली,12767
889,cgpc,हीच,12746
890,aq,लय,12746
891,anlmqn,लवड्या,12743
892,zntdcg,सारखी,12724
893,dnynlnt,कामावर,12718
894,ncsf,आहोत,12709
895,cjzcnt,हुशार,12691
896,dncn,कहा,12654
897,pcnnh,छान,12643
898,yso,मोबाईल,12640
899,csfnq,होतय,12617
900,nasq,आलोय,12610
901,lgmgs,व्हिडीओ,12559
902,mglz,दिवस,12546
903,znhvhnt,सांगणार,12536
904,znhvfu,सांगते,12505
905,pcnhvau,चांगले,12498
906,dtnqpc,करायच,12487
907,znvnt,सागर,12486
908,lnfua,वाटेल,12483
909,luag,वेळी,12480
910,fcsmqn,थोड्या,12479
911,nnraqnan,आपल्याला,12449
912,yniqnzcg,माझ्याशी,12404
913,dyg,कमी,12392
914,fnqntg,तयारी,12380
915,tg,री,12373
916,znhvjh,सांगून,12363
917,ztl,सर्व,12358
918,mtuzz,ड्रेस,12322
919,nnfclnh,आठवण,12317
920,vcnajh,घालून,12315
921,onnf,बात,12310
922,zsm,सोड,12281
923,znyntfc,समर्थ,12276
924,nna,आलं,12234
925,nnycnan,आम्हाला,12202
926,dgqn,किया,12191
927,vszcf,गोष्ट,12165
928,zncg,सही,12151
929,qufga,येतील,12150
930,hn,न,12144
931,csjh,होऊन,12121
932,tnmn,राडा,12119
933,csfqn,होत्या,12103
934,hnnl,नाव,12097
935,ocufhnt,भेटणार,12096
936,vnlnf,गावात,12088
937,ontu,बरे,12080
938,qnqan,यायला,12076
939,fshm,तोंड,12069
940,yganan,मिळाला,12062
941,bsty,फॉर्म,12060
942,kuxnh,जेवण,12055
943,fculn,ठेवा,12042
944,fl,टीव्ही,12034
945,nnv,आग,12020
946,uhvagzc,इंग्लिश,12019
947,h,ण,12014
948,nffn,आता,11986
949,osanan,बोलला,11963
950,ynt,मार,11950
951,israu,झोपले,11920
952,qnhpcqn,यांच्या,11898
953,hnltn,नवरा,11894
954,no,अब,11866
955,xnmmglznpcqn,वाढदिवसाच्या,11831
956,rtnfud,प्रत्येक,11829
957,onhd,बँक,11811
958,knmcnl,जाधव,11783
959,znmg,साडी,11781
960,yjiu,मुझे,11776
961,vnlnan,गावाला,11765
962,dntnqpcn,करायचा,11764
963,hnddgpc,नक्कीच,11755
964,knh,जण,11741
965,dntnlu,करावे,11736
966,onvcjh,बघून,11724
967,ocufan,भेटला,11717
968,gz,इस,11701
969,ynyg,मामी,11695
970,nhm,अँड,11672
971,fnzn,तसा,11659
972,gdmu,इकडे,11647
973,zpcssa,स्कूल,11644
974,fut,तर,11620
975,fqnpcu,त्याचे,11618
976,nvmg,अगदी,11585
977,fntgdc,तारीख,11561
978,rjhqnf,पुण्यात,11556
979,ufcu,इथे,11549
980,tncjmu,राहूदे,11536
